CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38248	Hotel La Quinta	Norte	Guanajuato	Saltillo	Saltillo	Coahuila
38249	La Calma	Occidente	Colli Urbano	Zapopan	Guadalajara	Jalisco
38250	Galerias Queretaro	Bajío	Virreyes 	Querétaro	Querétaro	Querétaro
38251	Las Torres Leon	Bajío	Lomas Del Campestre	León	León	Guanajuato
38252	Plaza Rio	Noroeste	Zona Rio	Tijuana  	Tijuana  	Baja California
38254	Plaza Real	Norte	Jardines Del Cerro	Monterrey	Monterrey	Nuevo León
38255	Plaza Divina	Norte Centro	San Luis Potosí	San Luis Potosí	San Luis Potosí	San Luis Potosí
38256	UDEM	Norte	Jesus M Garza	San Pedro Garza	San Pedro Garza	Nuevo León
38257	Playa Tides	Sureste	Centro	Solidaridad	Playa Del Carmen	Quintana Roo
38258	Garza Sada	Norte	Altavista	Monterrey	Monterrey	Nuevo León
38259	Punta Langosta	Sureste	Cozumel	Cozumel	Cozumel	Quintana Roo
38260	Tlacoquemecatl	Centro Sur	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38262	Centro Max	Bajío	Mega Price	León	León	Guanajuato
38263	Via Vergel Mty	Norte	Bosques Del Vergel	Monterrey	Monterrey	Nuevo León
38264	Zapata	Sur	Bellavista	Cuernavaca	Cuernavaca	Morelos
38265	Ensenada Malecon	Noroeste	Zona Centro	Ensenada	Ensenada	Baja California
38266	San Mateo	Centro Norte	San Mateo 	Naucalpan 	Estado De México	Estado De México
38267	Gran Plaza DT	Sureste	Gonzalo Guerrero	Merida	Merida	Yucatán
38268	Plaza Boulevares	Bajío	Alamos 3Ra Seccion 	Querétaro	Querétaro	Querétaro
38269	Aeropuerto Mty	Norte	Apodaca	Apodaca	Monterrey	Nuevo León
38270	Lomas Verdes II	Centro Norte	Lomas Verdes 	Naucalpan 	Estado De México	Estado De México
38271	Plaza Centenario	Noroeste	Fracc. Residencias	Mexicali	Mexicali	Baja California
38272	Londres	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38273	Colosio	Norte Centro	Valle De Las Trojes	Aguascalientes	Aguascalientes	Aguascalientes
38274	Salinas	Noroeste	Fracc. Aviscion	Tijuana  	Tijuana  	Baja California
38275	Altaria	Norte Centro	San Jose Del Arenal 	Aguascalientes	Aguascalientes	Aguascalientes
38276	Paseo de los Leones	Norte	Cumbres	Monterrey	Monterrey	Nuevo León
38277	Playas de Tijuana	Noroeste	Seccion Jardines, Playas De Tijuana	Tijuana  	Tijuana  	Baja California
38278	Torreon Independencia	Norte Centro	Nueva Los Angeles	Torreón	Torreón	Coahuila
38279	Tezontle ll	Centro Sur	Doctor Alfonso Ortiz Tirado	Iztapalapa	Ciudad De México	Ciudad De México
38280	Olas Diamante	Sur	Granjas Del Marques	Acapulco De Juarez	Acapulco	Guerrero
38282	Cimaco	Norte Centro	Navarro Torreon	Torreón	Torreón	Coahuila
38283	Citadel	Norte	La Fe	San Nicolas	Monterrey	Nuevo León
38285	Reforma 222	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38286	Los Arcos Queretaro	Bajío	Jardines De Queretaro 	Querétaro	Querétaro	Querétaro
38287	ITESO	Occidente	El Mante	Tlaquepaque	Guadalajara	Jalisco
38288	Galerias Vallarta	Occidente	Educación	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
